Date,Open,High,Low,Close,Adj Close,Volume
"Jul 08, 2026",360.12,363.01,354.25,356.03,356.03,"4,214,000"
"Jul 07, 2026",377.40,377.90,363.63,366.98,366.98,"4,263,100"
"Jul 06, 2026",377.17,380.29,373.84,378.68,378.68,"4,065,400"
"Jul 02, 2026",379.79,382.97,374.37,377.52,377.05,"3,274,700"
"Jul 01, 2026",375.03,376.69,371.38,374.94,374.47,"3,951,400"
"Jun 30, 2026",374.61,376.82,368.74,373.73,373.26,"4,887,500"
"Jun 29, 2026",367.82,376.00,367.47,373.71,373.24,"6,071,500"
"Jun 26, 2026",368.40,371.44,363.82,369.00,368.54,"8,360,900"
"Jun 25, 2026",367.65,379.67,366.51,371.36,370.90,"7,591,800"
"Jun 24, 2026",356.84,369.25,355.66,365.88,365.42,"6,453,700"
"Jun 23, 2026",349.28,359.92,347.77,356.47,356.03,"4,735,200"
"Jun 22, 2026",357.64,361.28,354.54,355.12,354.68,"5,426,700"
"Jun 18, 2026",362.85,364.70,357.10,357.64,357.19,"7,763,400"
"Jun 17, 2026",352.11,362.33,350.00,357.03,356.59,"5,029,400"
"Jun 16, 2026",344.04,352.88,344.04,351.73,351.29,"5,210,300"
"Jun 15, 2026",343.45,348.90,341.96,342.26,341.83,"5,252,700"
"Jun 12, 2026",334.56,336.86,328.47,335.30,334.88,"4,377,500"
"Jun 11, 2026",320.56,332.92,319.76,332.76,332.35,"4,451,200"
"Jun 10, 2026",329.49,330.57,318.25,318.71,318.31,"3,777,800"
"Jun 09, 2026",324.65,331.31,320.02,330.44,330.03,"4,825,300"
"Jun 08, 2026",329.57,332.02,321.04,322.04,321.64,"3,152,100"
"Jun 05, 2026",326.90,332.49,322.53,328.00,327.59,"3,951,500"
"Jun 04, 2026",316.67,329.46,316.25,327.65,327.24,"4,243,400"
"Jun 03, 2026",313.44,319.55,311.00,314.64,314.25,"4,127,000"
"Jun 02, 2026",323.00,325.03,316.66,317.72,317.32,"4,827,600"
"Jun 01, 2026",321.48,326.40,314.92,324.60,324.20,"4,633,500"
"May 29, 2026",319.33,325.92,316.58,323.76,323.36,"9,345,400"
"May 28, 2026",316.77,322.32,314.29,320.82,320.42,"5,022,600"
"May 27, 2026",314.30,320.48,311.95,317.21,316.82,"4,788,100"
"May 26, 2026",306.35,314.98,306.35,314.49,314.10,"5,084,200"
"May 22, 2026",303.25,306.30,300.25,302.84,302.46,"3,502,100"
"May 21, 2026",298.50,302.88,294.75,301.76,301.38,"4,928,300"
"May 20, 2026",289.00,300.45,286.18,300.17,299.80,"6,098,400"
"May 19, 2026",284.79,287.42,282.62,285.28,284.92,"5,239,400"
"May 18, 2026",283.39,287.24,282.04,285.99,285.63,"4,696,200"
"May 15, 2026",287.49,288.31,281.31,281.53,281.18,"5,022,500"
"May 14, 2026",295.03,297.85,289.08,291.54,291.18,"4,686,200"
"May 13, 2026",295.97,298.40,291.31,294.71,294.34,"4,219,900"
"May 12, 2026",299.72,300.91,293.30,297.45,297.08,"4,393,300"
"May 11, 2026",296.03,303.07,292.85,300.77,300.40,"4,562,000"
"May 08, 2026",304.45,305.41,296.83,297.15,296.78,"3,952,200"
"May 07, 2026",308.01,310.00,301.86,302.63,302.25,"5,477,800"
"May 06, 2026",300.43,308.37,299.86,305.83,305.45,"9,168,300"
"May 05, 2026",282.48,290.66,281.61,286.68,286.32,"6,401,100"
"May 04, 2026",286.40,289.84,279.41,280.52,280.17,"6,133,100"
"May 01, 2026",289.05,291.76,286.24,286.51,286.15,"3,782,900"
"Apr 30, 2026",285.01,291.57,284.83,289.93,289.57,"7,603,400"
"Apr 29, 2026",287.21,289.94,279.59,283.57,283.22,"9,819,400"
"Apr 28, 2026",283.37,289.41,280.55,289.20,288.84,"8,417,200"
"Apr 27, 2026",282.81,284.87,280.10,284.56,284.21,"5,213,300"
"Apr 24, 2026",280.61,286.13,277.18,284.60,284.25,"9,672,300"
"Apr 23, 2026",276.49,282.94,273.36,282.34,281.99,"8,591,100"
"Apr 22, 2026",286.65,287.80,268.91,276.29,275.95,"12,777,700"
"Apr 21, 2026",293.58,304.30,284.21,286.73,286.37,"12,891,500"
"Apr 20, 2026",303.88,305.47,298.41,303.60,303.22,"5,315,200"
"Apr 17, 2026",310.13,314.00,303.85,304.13,303.75,"7,733,100"
"Apr 16, 2026",313.57,313.95,297.86,298.29,297.92,"7,373,300"
"Apr 15, 2026",316.44,318.58,311.40,313.93,313.54,"3,993,700"
"Apr 14, 2026",315.01,319.14,313.02,318.00,317.60,"3,530,100"
"Apr 13, 2026",306.43,312.15,304.32,311.90,311.51,"3,811,500"
"Apr 10, 2026",313.08,313.47,306.42,308.35,307.97,"3,685,100"
"Apr 09, 2026",306.00,315.05,304.15,313.02,312.63,"5,470,800"
"Apr 08, 2026",309.92,313.13,305.30,308.06,307.68,"6,432,900"
"Apr 07, 2026",285.50,290.10,283.12,288.60,288.24,"5,280,500"
"Apr 06, 2026",280.55,288.79,278.57,288.69,288.33,"5,062,800"
"Apr 02, 2026",284.89,289.11,279.31,281.16,280.81,"5,322,900"
"Apr 01, 2026",290.21,295.50,289.99,292.68,292.32,"5,242,500"
"Mar 31, 2026",277.93,286.49,275.80,283.77,283.42,"7,828,800"
"Mar 30, 2026",284.07,284.71,270.79,273.25,272.91,"8,598,600"
"Mar 27, 2026",282.99,284.97,280.97,282.81,282.46,"4,161,700"
"Mar 26, 2026",291.58,294.02,282.68,285.24,284.88,"5,890,800"
"Mar 25, 2026",295.10,297.87,293.09,296.56,296.19,"4,456,600"
"Mar 24, 2026",287.71,292.52,285.30,290.63,290.27,"5,028,200"
"Mar 23, 2026",296.80,299.83,290.17,291.54,291.18,"6,473,800"
"Mar 20, 2026",290.00,293.43,282.29,286.79,286.43,"10,192,400"
"Mar 19, 2026",296.10,296.24,286.13,291.61,291.25,"7,128,700"
"Mar 18, 2026",302.82,304.97,300.18,300.96,300.59,"3,942,400"
"Mar 17, 2026",305.41,306.00,299.02,302.09,301.71,"4,787,100"
"Mar 16, 2026",303.77,305.70,300.15,304.00,303.62,"6,327,200"
"Mar 13, 2026",307.37,309.51,299.05,299.69,299.32,"5,770,600"
"Mar 12, 2026",318.64,318.64,301.13,306.70,306.32,"8,007,200"
"Mar 11, 2026",324.23,326.20,321.19,325.15,324.75,"3,116,000"
"Mar 10, 2026",322.26,331.88,320.55,326.52,326.11,"4,146,700"
"Mar 09, 2026",319.89,322.00,310.12,321.93,321.53,"5,740,100"
"Mar 06, 2026",323.67,324.54,317.61,323.11,322.24,"4,677,000"
"Mar 05, 2026",336.58,341.81,320.79,326.99,326.11,"4,825,400"
"Mar 04, 2026",336.55,340.25,333.42,339.81,338.89,"3,920,400"
"Mar 03, 2026",340.68,341.13,329.08,334.14,333.24,"5,891,500"
"Mar 02, 2026",341.45,347.20,335.33,345.74,344.81,"3,981,200"
"Feb 27, 2026",340.62,343.80,337.67,342.26,341.34,"7,055,100"
"Feb 26, 2026",342.61,343.98,334.81,340.84,339.92,"4,722,400"
"Feb 25, 2026",345.61,348.48,338.66,342.89,341.96,"5,030,300"
"Feb 24, 2026",337.98,346.80,330.72,345.64,344.71,"6,171,900"
"Feb 23, 2026",342.15,343.28,337.00,338.99,338.08,"5,045,100"
"Feb 20, 2026",338.83,344.30,336.79,343.22,342.29,"5,035,400"
"Feb 19, 2026",328.04,335.88,325.57,334.74,333.84,"4,456,700"
"Feb 18, 2026",330.35,331.79,326.50,329.58,328.69,"3,988,900"
"Feb 17, 2026",315.00,330.40,314.50,327.08,326.20,"5,863,600"
"Feb 13, 2026",315.22,326.68,313.53,315.41,314.56,"4,393,400"
"Feb 12, 2026",317.78,324.88,311.66,312.89,312.05,"6,163,900"
"Feb 11, 2026",319.45,321.78,312.76,313.73,312.88,"5,241,100"
"Feb 10, 2026",316.94,320.07,315.88,316.33,315.48,"4,610,600"
"Feb 09, 2026",321.04,324.49,316.39,316.74,315.89,"4,706,400"
"Feb 06, 2026",310.69,323.18,310.22,321.00,320.13,"5,800,600"
"Feb 05, 2026",306.71,309.23,302.50,306.37,305.54,"4,461,900"
"Feb 04, 2026",310.01,311.78,302.00,308.34,307.51,"6,591,900"
"Feb 03, 2026",309.89,312.43,305.01,309.93,309.09,"4,588,100"
"Feb 02, 2026",305.60,309.66,301.02,308.71,307.88,"6,727,200"
"Jan 30, 2026",297.00,307.60,296.38,306.79,305.96,"7,427,800"
"Jan 29, 2026",293.30,299.19,290.33,298.86,298.05,"6,149,900"
"Jan 28, 2026",297.00,298.27,291.15,292.48,291.69,"7,541,300"
"Jan 27, 2026",295.51,300.63,294.60,297.47,296.67,"7,452,200"
"Jan 26, 2026",293.00,298.73,290.44,295.06,294.26,"7,844,800"
"Jan 23, 2026",297.00,299.11,290.07,293.87,293.08,"7,780,200"
"Jan 22, 2026",305.87,310.00,294.84,295.00,294.20,"13,939,000"
"Jan 21, 2026",313.06,320.33,310.66,318.50,317.64,"9,783,900"
"Jan 20, 2026",321.75,323.88,309.66,312.34,311.50,"10,372,200"
"Jan 16, 2026",321.72,325.55,318.70,325.12,324.24,"4,109,700"
"Jan 15, 2026",320.59,324.45,317.95,319.94,319.08,"4,044,900"
"Jan 14, 2026",324.82,326.30,316.36,318.88,318.02,"3,923,600"
"Jan 13, 2026",325.55,328.09,325.00,327.23,326.35,"2,783,900"
"Jan 12, 2026",320.20,324.54,319.41,324.17,323.30,"4,125,300"
"Jan 09, 2026",317.11,322.30,315.19,321.59,320.72,"3,508,000"
"Jan 08, 2026",330.15,330.15,310.27,314.44,313.59,"5,771,700"
"Jan 07, 2026",328.42,330.26,322.95,323.64,322.77,"4,656,800"
"Jan 06, 2026",325.92,332.79,321.46,327.54,326.66,"4,324,700"
"Jan 05, 2026",323.82,329.43,323.42,324.32,323.45,"5,628,200"
"Jan 02, 2026",309.75,320.98,308.66,320.75,319.88,"4,340,100"
"Dec 31, 2025",312.14,313.36,307.87,308.03,307.20,"2,555,700"
"Dec 30, 2025",311.94,312.93,310.56,311.79,310.95,"3,155,100"
"Dec 29, 2025",313.34,314.00,311.25,311.58,310.74,"2,773,200"
"Dec 26, 2025",316.60,318.06,314.54,315.14,313.93,"1,882,300"
"Dec 24, 2025",315.99,317.16,315.12,316.75,315.53,"878,500"
"Dec 23, 2025",315.00,317.75,314.16,315.53,314.32,"2,724,800"
"Dec 22, 2025",309.65,316.40,305.93,314.73,313.52,"6,959,900"
"Dec 19, 2025",304.23,308.43,303.64,307.21,306.03,"8,856,400"
"Dec 18, 2025",296.00,302.31,295.42,301.69,300.53,"4,495,100"
"Dec 17, 2025",299.12,301.23,291.62,292.18,291.06,"3,802,500"
"Dec 16, 2025",297.66,301.40,296.86,298.73,297.58,"5,271,300"
"Dec 15, 2025",300.00,308.06,299.91,300.98,299.83,"6,808,600"
"Dec 12, 2025",290.93,304.01,290.70,299.81,298.66,"9,381,900"
"Dec 11, 2025",282.08,289.36,279.64,288.42,287.31,"5,971,500"
"Dec 10, 2025",285.45,285.88,281.31,283.60,282.51,"5,807,400"
"Dec 09, 2025",287.20,290.45,284.77,285.31,284.22,"3,553,400"
"Dec 08, 2025",285.00,288.84,283.30,287.19,286.09,"4,333,200"
"Dec 05, 2025",291.67,293.28,282.15,283.94,282.85,"5,220,300"
"Dec 04, 2025",288.85,294.54,287.66,291.86,290.74,"4,195,300"
"Dec 03, 2025",288.04,289.35,284.50,288.49,287.38,"4,059,500"
"Dec 02, 2025",290.80,292.00,288.46,289.32,288.21,"4,255,800"
"Dec 01, 2025",295.75,296.40,288.03,288.45,287.34,"3,756,300"
"Nov 28, 2025",297.01,298.68,295.26,298.45,297.30,"1,376,400"
"Nov 26, 2025",295.21,298.61,293.46,296.62,295.48,"4,113,700"
"Nov 25, 2025",294.49,295.98,286.21,293.44,292.31,"4,693,100"
"Nov 24, 2025",289.48,294.82,287.37,294.05,292.92,"11,909,200"
"Nov 21, 2025",290.62,291.71,284.04,287.44,286.34,"5,604,100"
"Nov 20, 2025",305.40,307.08,290.48,290.62,289.50,"3,733,900"
"Nov 19, 2025",295.86,301.67,295.50,300.82,299.67,"2,952,600"
"Nov 18, 2025",295.83,301.08,293.75,296.01,294.87,"4,053,600"
"Nov 17, 2025",306.82,308.82,298.55,300.13,298.98,"3,076,600"
"Nov 14, 2025",300.97,306.80,296.25,304.82,303.65,"2,803,300"
"Nov 13, 2025",309.98,311.38,302.58,304.17,303.00,"4,153,300"
"Nov 12, 2025",310.78,312.45,302.00,309.02,307.83,"3,884,500"
"Nov 11, 2025",310.50,312.72,307.05,310.72,309.53,"2,682,200"
"Nov 10, 2025",309.94,313.76,308.92,311.94,310.74,"3,716,400"
"Nov 07, 2025",304.03,308.92,297.70,307.27,306.09,"4,766,500"
"Nov 06, 2025",303.73,308.03,301.44,305.27,304.10,"3,467,800"
"Nov 05, 2025",303.45,308.54,302.50,305.11,303.94,"4,711,100"
"Nov 04, 2025",305.82,309.23,303.07,304.20,303.03,"3,938,200"
"Nov 03, 2025",309.10,311.69,306.28,308.62,307.44,"3,297,600"
"Oct 31, 2025",311.74,314.92,307.18,308.95,307.76,"4,023,800"
"Oct 30, 2025",310.41,314.84,308.50,310.75,309.56,"3,782,000"
"Oct 29, 2025",310.00,315.12,309.02,314.28,313.07,"3,596,800"
"Oct 28, 2025",312.10,316.67,309.45,309.79,308.60,"3,058,100"
"Oct 27, 2025",307.49,313.33,304.50,312.84,311.64,"4,244,400"
"Oct 24, 2025",309.19,310.30,303.57,303.87,302.70,"3,586,800"
"Oct 23, 2025",299.15,307.09,298.68,306.39,305.21,"3,091,000"
"Oct 22, 2025",307.60,309.00,294.80,297.89,296.75,"5,212,200"
"Oct 21, 2025",307.30,316.53,303.03,306.63,305.45,"6,726,600"
"Oct 20, 2025",303.86,305.43,301.67,302.68,301.52,"5,058,700"
"Oct 17, 2025",298.17,302.96,297.34,300.14,298.99,"3,949,300"
"Oct 16, 2025",301.67,303.05,297.76,299.84,298.69,"2,623,100"
"Oct 15, 2025",301.54,304.95,295.72,300.12,298.97,"2,773,000"
"Oct 14, 2025",294.84,302.29,292.01,300.08,298.93,"2,516,500"
"Oct 13, 2025",296.00,297.58,293.12,297.53,296.39,"2,604,100"
"Oct 10, 2025",299.00,300.00,291.49,291.49,290.37,"3,380,000"
"Oct 09, 2025",302.71,304.00,296.10,299.35,298.20,"4,292,500"
"Oct 08, 2025",303.40,304.67,299.59,302.56,301.40,"2,658,600"
"Oct 07, 2025",298.07,302.74,297.89,301.74,300.58,"2,578,800"
